%energy of electronic state
%state      energy(eV)
He(1S1)     0.000000000
He(2S3)     19.8196
He(2S1)     20.6157
He(2P3)     20.9640
He(2P1)     21.2180
He(3S3)     22.7184
He(3S1)     22.9203
He(3P3)     23.0070
He(3D3)     23.0736
He(3D1)     23.0740
He(3P1)     23.0870
He(4S3)     23.5939
He(4S1)     23.6735
He(4P3)     23.7088
He(4D3)     23.7360
He(4D1)     23.7370
He(4F3)     23.73710065
He(4F1)     23.73710085
He(4P1)     23.7420
He(5S3)     23.9719
He(5S1)     24.0112
He(5P3)     24.0282
He(5D3)     24.0426
He(5D1)     24.0428
He(5FG3)    24.0434
He(5FG1)    24.0434
He(5P1)     24.0457
He(6S3)     24.1689
He(6S1)     24.1911
He(6P3)     24.2008
He(6D3)     24.2091
He(6D1)     24.2092
He(6FGH3)   24.2097
He(6FGH1)   24.2097
He(6P1)     24.2112
He(7S3)     24.2847
He(7S1)     24.2984
He(7P3)     24.3044
He(7D3)     24.3097
He(7D1)     24.3097
He(7FGHI3)  24.3099
He(7FGHI1)  24.3099
He(7P1)     24.3109
He2(+,2S3)  0.0001
