#Energy(eV)          EEDF(eV^-(3/2))     
3.4758059236e-02     1.1774036508e-01  
1.0427417771e-01     1.2521982577e-01  
1.7379029618e-01     1.2652966801e-01  
2.4330641465e-01     1.2771619487e-01  
3.1282253312e-01     1.2818675917e-01  
3.8233865160e-01     1.2829708125e-01  
4.5185477007e-01     1.2800353561e-01  
5.2137088854e-01     1.2798314179e-01  
5.9088700701e-01     1.2740987608e-01  
6.6040312549e-01     1.2691851505e-01  
7.2991924396e-01     1.2628912194e-01  
7.9943536243e-01     1.2560882871e-01  
8.6895148090e-01     1.2508352553e-01  
9.3846759937e-01     1.2416450310e-01  
1.0079837178e+00     1.2323669494e-01  
1.0774998363e+00     1.2231651500e-01  
1.1470159548e+00     1.2094965637e-01  
1.2165320733e+00     1.1969055116e-01  
1.2860481917e+00     1.1839577003e-01  
1.3555643102e+00     1.1705592920e-01  
1.4250804287e+00     1.1557139964e-01  
1.4945965472e+00     1.1402674755e-01  
1.5641126656e+00     1.1252060936e-01  
1.6336287841e+00     1.1112133533e-01  
1.7031449026e+00     1.0949906569e-01  
1.7726610210e+00     1.0805414906e-01  
1.8421771395e+00     1.0652121208e-01  
1.9116932580e+00     1.0507291380e-01  
1.9812093765e+00     1.0362174510e-01  
2.0507254949e+00     1.0206651714e-01  
2.1202416134e+00     1.0061122363e-01  
2.1897577319e+00     9.9286891499e-02  
2.2592738503e+00     9.7898939177e-02  
2.3287899688e+00     9.6365573796e-02  
2.3983060873e+00     9.4962788818e-02  
2.4678222058e+00     9.3670613993e-02  
2.5373383242e+00     9.2242385031e-02  
2.6068544427e+00     9.0884813721e-02  
2.6763705612e+00     8.9544776244e-02  
2.7458866796e+00     8.8277428745e-02  
2.8154027981e+00     8.7004129251e-02  
2.8849189166e+00     8.5778437375e-02  
2.9544350351e+00     8.4623280851e-02  
3.0239511535e+00     8.3284369461e-02  
3.0934672720e+00     8.2027313800e-02  
3.1629833905e+00     8.0787003917e-02  
3.2324995090e+00     7.9595047425e-02  
3.3020156274e+00     7.8441202985e-02  
3.3715317459e+00     7.7318800974e-02  
3.4410478644e+00     7.6177190117e-02  
3.5105639828e+00     7.5114045290e-02  
3.5800801013e+00     7.3894491786e-02  
3.6495962198e+00     7.2874145046e-02  
3.7191123383e+00     7.1762834507e-02  
3.7886284567e+00     7.0676025396e-02  
3.8581445752e+00     6.9665847571e-02  
3.9276606937e+00     6.8644835558e-02  
3.9971768121e+00     6.7639152002e-02  
4.0666929306e+00     6.6529972287e-02  
4.1362090491e+00     6.5523847312e-02  
4.2057251676e+00     6.4444195949e-02  
4.2752412860e+00     6.3388141687e-02  
4.3447574045e+00     6.2481071779e-02  
4.4142735230e+00     6.1442168200e-02  
4.4837896415e+00     6.0420651659e-02  
4.5533057599e+00     5.9473848782e-02  
4.6228218784e+00     5.8516418544e-02  
4.6923379969e+00     5.7460522185e-02  
4.7618541153e+00     5.6549286493e-02  
4.8313702338e+00     5.5565109520e-02  
4.9008863523e+00     5.4597393676e-02  
4.9704024708e+00     5.3725875306e-02  
5.0399185892e+00     5.2759922967e-02  
5.1094347077e+00     5.1822742456e-02  
5.1789508262e+00     5.0907878843e-02  
5.2484669446e+00     4.9986665476e-02  
5.3179830631e+00     4.9080126199e-02  
5.3874991816e+00     4.8229836572e-02  
5.4570153001e+00     4.7233788429e-02  
5.5265314185e+00     4.6351426920e-02  
5.5960475370e+00     4.5461302260e-02  
5.6655636555e+00     4.4493253907e-02  
5.7350797740e+00     4.3693637139e-02  
5.8045958924e+00     4.2778825223e-02  
5.8741120109e+00     4.1974226552e-02  
5.9436281294e+00     4.1135650868e-02  
6.0131442478e+00     4.0201259459e-02  
6.0826603663e+00     3.9360837588e-02  
6.1521764848e+00     3.8511331580e-02  
6.2216926033e+00     3.7625839495e-02  
6.2912087217e+00     3.6756420607e-02  
6.3607248402e+00     3.5927940872e-02  
6.4302409587e+00     3.5046997935e-02  
6.4997570771e+00     3.4232521079e-02  
6.5692731956e+00     3.3341790182e-02  
6.6387893141e+00     3.2526129507e-02  
6.7083054326e+00     3.1707559193e-02  
6.7778215510e+00     3.0974749946e-02  
6.8473376695e+00     3.0150008928e-02  
6.9168537880e+00     2.9355740677e-02  
6.9863699064e+00     2.8612278331e-02  
7.0558860249e+00     2.7825812028e-02  
7.1254021434e+00     2.7120213054e-02  
7.1949182619e+00     2.6378040128e-02  
7.2644343803e+00     2.5667225324e-02  
7.3339504988e+00     2.4951034021e-02  
7.4034666173e+00     2.4228058467e-02  
7.4729827358e+00     2.3560451976e-02  
7.5424988542e+00     2.2876975886e-02  
7.6120149727e+00     2.2231173564e-02  
7.6815310912e+00     2.1599645118e-02  
7.7510472096e+00     2.0932478927e-02  
7.8205633281e+00     2.0357423870e-02  
7.8900794466e+00     1.9717490285e-02  
7.9595955651e+00     1.9097420474e-02  
8.0291116835e+00     1.8529575470e-02  
8.0986278020e+00     1.7952008665e-02  
8.1681439205e+00     1.7368734732e-02  
8.2376600389e+00     1.6792421216e-02  
8.3071761574e+00     1.6217421909e-02  
8.3766922759e+00     1.5663203599e-02  
8.4462083944e+00     1.5108686340e-02  
8.5157245128e+00     1.4571819224e-02  
8.5852406313e+00     1.4073108180e-02  
8.6547567498e+00     1.3517361848e-02  
8.7242728683e+00     1.2952008449e-02  
8.7937889867e+00     1.2435750634e-02  
8.8633051052e+00     1.1941871602e-02  
8.9328212237e+00     1.1444605612e-02  
9.0023373421e+00     1.0951990359e-02  
9.0718534606e+00     1.0474360134e-02  
9.1413695791e+00     1.0020227243e-02  
9.2108856976e+00     9.6126077152e-03  
9.2804018160e+00     9.1637376462e-03  
9.3499179345e+00     8.8032482768e-03  
9.4194340530e+00     8.4296763491e-03  
9.4889501714e+00     8.0692241776e-03  
9.5584662899e+00     7.7374592938e-03  
9.6279824084e+00     7.4407929027e-03  
9.6974985269e+00     7.1221510482e-03  
9.7670146453e+00     6.8338937900e-03  
9.8365307638e+00     6.5515283384e-03  
9.9060468823e+00     6.2841374098e-03  
9.9755630008e+00     6.0414821764e-03  
1.0045079119e+01     5.7880123613e-03  
1.0114595238e+01     5.5659269551e-03  
1.0184111356e+01     5.3297259346e-03  
1.0253627475e+01     5.1173417476e-03  
1.0323143593e+01     4.9118688286e-03  
1.0392659712e+01     4.7345451603e-03  
1.0462175830e+01     4.5380423272e-03  
1.0531691949e+01     4.3619814439e-03  
1.0601208067e+01     4.1933559714e-03  
1.0670724185e+01     4.0040785370e-03  
1.0740240304e+01     3.8642700135e-03  
1.0809756422e+01     3.6952862699e-03  
1.0879272541e+01     3.5687992953e-03  
1.0948788659e+01     3.4155472631e-03  
1.1018304778e+01     3.2907326291e-03  
1.1087820896e+01     3.1548838419e-03  
1.1157337015e+01     3.0426546133e-03  
1.1226853133e+01     2.9039175260e-03  
1.1296369252e+01     2.7929867739e-03  
1.1365885370e+01     2.6800889313e-03  
1.1435401489e+01     2.5892882088e-03  
1.1504917607e+01     2.4806407685e-03  
1.1574433726e+01     2.3858772051e-03  
1.1643949844e+01     2.2990942273e-03  
1.1713465963e+01     2.1906690436e-03  
1.1782982081e+01     2.0996959766e-03  
1.1852498199e+01     2.0285253838e-03  
1.1922014318e+01     1.9513166848e-03  
1.1991530436e+01     1.8734240754e-03  
1.2061046555e+01     1.8039505334e-03  
1.2130562673e+01     1.7179980120e-03  
1.2200078792e+01     1.6553127427e-03  
1.2269594910e+01     1.5966521791e-03  
1.2339111029e+01     1.5323839573e-03  
1.2408627147e+01     1.4639831011e-03  
1.2478143266e+01     1.4082881538e-03  
1.2547659384e+01     1.3509371023e-03  
1.2617175503e+01     1.2937377504e-03  
1.2686691621e+01     1.2476595934e-03  
1.2756207740e+01     1.1954517910e-03  
1.2825723858e+01     1.1447416421e-03  
1.2895239977e+01     1.0980663040e-03  
1.2964756095e+01     1.0580156732e-03  
1.3034272214e+01     1.0212815147e-03  
1.3103788332e+01     9.7542428477e-04  
1.3173304450e+01     9.3873446341e-04  
1.3242820569e+01     8.9026634768e-04  
1.3312336687e+01     8.5366300674e-04  
1.3381852806e+01     8.2884393683e-04  
1.3451368924e+01     7.9620975679e-04  
1.3520885043e+01     7.6951314363e-04  
1.3590401161e+01     7.3713117980e-04  
1.3659917280e+01     6.9596697893e-04  
1.3729433398e+01     6.7072709412e-04  
1.3798949517e+01     6.5171190940e-04  
1.3868465635e+01     6.2222490258e-04  
1.3937981754e+01     5.9340299925e-04  
1.4007497872e+01     5.7051933445e-04  
1.4077013991e+01     5.4849373686e-04  
1.4146530109e+01     5.2725568347e-04  
1.4216046228e+01     4.9914274048e-04  
1.4285562346e+01     4.8224566471e-04  
1.4355078464e+01     4.6285158775e-04  
1.4424594583e+01     4.4441245803e-04  
1.4494110701e+01     4.2291570305e-04  
1.4563626820e+01     4.0756814059e-04  
1.4633142938e+01     3.9299796173e-04  
1.4702659057e+01     3.7173343722e-04  
1.4772175175e+01     3.5803211210e-04  
1.4841691294e+01     3.4444687850e-04  
1.4911207412e+01     3.3585695439e-04  
1.4980723531e+01     3.2009832231e-04  
1.5050239649e+01     3.0751685166e-04  
1.5119755768e+01     2.9749840327e-04  
1.5189271886e+01     2.8493137830e-04  
1.5258788005e+01     2.7149026970e-04  
1.5328304123e+01     2.5792794481e-04  
1.5397820242e+01     2.4969521489e-04  
1.5467336360e+01     2.3868432496e-04  
1.5536852479e+01     2.3144662472e-04  
1.5606368597e+01     2.1840388392e-04  
1.5675884715e+01     2.1526669974e-04  
1.5745400834e+01     2.0453118010e-04  
1.5814916952e+01     1.9426597724e-04  
1.5884433071e+01     1.8711478087e-04  
1.5953949189e+01     1.7784675496e-04  
1.6023465308e+01     1.7251312230e-04  
1.6092981426e+01     1.6164508366e-04  
1.6162497545e+01     1.5783807800e-04  
1.6232013663e+01     1.5058464546e-04  
1.6301529782e+01     1.4474058966e-04  
1.6371045900e+01     1.3608957540e-04  
