#v_r(m/s)          v_z(m/s)           EVDF(m-3s-3)       
8.7416510573e+03   -3.4791771208e+06  0.0000000000e+00  
8.7416510573e+03   -3.4442105166e+06  0.0000000000e+00  
8.7416510573e+03   -3.4092439123e+06  0.0000000000e+00  
8.7416510573e+03   -3.3742773081e+06  0.0000000000e+00  
8.7416510573e+03   -3.3393107039e+06  0.0000000000e+00  
8.7416510573e+03   -3.3043440997e+06  0.0000000000e+00  
8.7416510573e+03   -3.2693774954e+06  0.0000000000e+00  
8.7416510573e+03   -3.2344108912e+06  0.0000000000e+00  
8.7416510573e+03   -3.1994442870e+06  0.0000000000e+00  
8.7416510573e+03   -3.1644776827e+06  0.0000000000e+00  
8.7416510573e+03   -3.1295110785e+06  0.0000000000e+00  
8.7416510573e+03   -3.0945444743e+06  0.0000000000e+00  
8.7416510573e+03   -3.0595778701e+06  0.0000000000e+00  
8.7416510573e+03   -3.0246112658e+06  0.0000000000e+00  
8.7416510573e+03   -2.9896446616e+06  0.0000000000e+00  
8.7416510573e+03   -2.9546780574e+06  0.0000000000e+00  
8.7416510573e+03   -2.9197114531e+06  0.0000000000e+00  
8.7416510573e+03   -2.8847448489e+06  0.0000000000e+00  
8.7416510573e+03   -2.8497782447e+06  0.0000000000e+00  
8.7416510573e+03   -2.8148116404e+06  0.0000000000e+00  
8.7416510573e+03   -2.7798450362e+06  0.0000000000e+00  
8.7416510573e+03   -2.7448784320e+06  0.0000000000e+00  
8.7416510573e+03   -2.7099118278e+06  0.0000000000e+00  
8.7416510573e+03   -2.6749452235e+06  0.0000000000e+00  
8.7416510573e+03   -2.6399786193e+06  0.0000000000e+00  
8.7416510573e+03   -2.6050120151e+06  0.0000000000e+00  
8.7416510573e+03   -2.5700454108e+06  0.0000000000e+00  
8.7416510573e+03   -2.5350788066e+06  0.0000000000e+00  
8.7416510573e+03   -2.5001122024e+06  0.0000000000e+00  
8.7416510573e+03   -2.4651455982e+06  0.0000000000e+00  
8.7416510573e+03   -2.4301789939e+06  0.0000000000e+00  
8.7416510573e+03   -2.3952123897e+06  0.0000000000e+00  
8.7416510573e+03   -2.3602457855e+06  0.0000000000e+00  
8.7416510573e+03   -2.3252791812e+06  0.0000000000e+00  
8.7416510573e+03   -2.2903125770e+06  2.8907789784e-24  
8.7416510573e+03   -2.2553459728e+06  3.8543719712e-24  
8.7416510573e+03   -2.2203793686e+06  0.0000000000e+00  
8.7416510573e+03   -2.1854127643e+06  2.8907789784e-24  
8.7416510573e+03   -2.1504461601e+06  1.9271859856e-24  
8.7416510573e+03   -2.1154795559e+06  3.8543719712e-24  
8.7416510573e+03   -2.0805129516e+06  6.7451509496e-24  
8.7416510573e+03   -2.0455463474e+06  8.6723369352e-24  
8.7416510573e+03   -2.0105797432e+06  1.0599522921e-23  
8.7416510573e+03   -1.9756131389e+06  1.1563115914e-23  
8.7416510573e+03   -1.9406465347e+06  1.2526708906e-23  
8.7416510573e+03   -1.9056799305e+06  1.9271859856e-23  
8.7416510573e+03   -1.8707133263e+06  2.3126231827e-23  
8.7416510573e+03   -1.8357467220e+06  3.0834975770e-23  
8.7416510573e+03   -1.8007801178e+06  2.6980603798e-23  
8.7416510573e+03   -1.7658135136e+06  3.7580126719e-23  
8.7416510573e+03   -1.7308469093e+06  5.3961207597e-23  
8.7416510573e+03   -1.6958803051e+06  5.1070428618e-23  
8.7416510573e+03   -1.6609137009e+06  7.9014625410e-23  
8.7416510573e+03   -1.6259470967e+06  1.0021367125e-22  
8.7416510573e+03   -1.5909804924e+06  1.3201224001e-22  
