v_r(m/s)           v_z(m/s)           EVDF(m-3s-3)       
5.1085283978e+03   -2.0331943023e+06  0.0000000000e+00  
5.1085283978e+03   -2.0127601887e+06  0.0000000000e+00  
5.1085283978e+03   -1.9923260751e+06  0.0000000000e+00  
5.1085283978e+03   -1.9718919615e+06  0.0000000000e+00  
5.1085283978e+03   -1.9514578479e+06  0.0000000000e+00  
5.1085283978e+03   -1.9310237344e+06  0.0000000000e+00  
5.1085283978e+03   -1.9105896208e+06  0.0000000000e+00  
5.1085283978e+03   -1.8901555072e+06  0.0000000000e+00  
5.1085283978e+03   -1.8697213936e+06  0.0000000000e+00  
5.1085283978e+03   -1.8492872800e+06  0.0000000000e+00  
5.1085283978e+03   -1.8288531664e+06  0.0000000000e+00  
5.1085283978e+03   -1.8084190528e+06  0.0000000000e+00  
5.1085283978e+03   -1.7879849392e+06  0.0000000000e+00  
5.1085283978e+03   -1.7675508256e+06  0.0000000000e+00  
5.1085283978e+03   -1.7471167120e+06  0.0000000000e+00  
5.1085283978e+03   -1.7266825984e+06  0.0000000000e+00  
5.1085283978e+03   -1.7062484848e+06  0.0000000000e+00  
5.1085283978e+03   -1.6858143713e+06  0.0000000000e+00  
5.1085283978e+03   -1.6653802577e+06  0.0000000000e+00  
5.1085283978e+03   -1.6449461441e+06  0.0000000000e+00  
5.1085283978e+03   -1.6245120305e+06  0.0000000000e+00  
5.1085283978e+03   -1.6040779169e+06  0.0000000000e+00  
5.1085283978e+03   -1.5836438033e+06  0.0000000000e+00  
5.1085283978e+03   -1.5632096897e+06  0.0000000000e+00  
5.1085283978e+03   -1.5427755761e+06  0.0000000000e+00  
5.1085283978e+03   -1.5223414625e+06  0.0000000000e+00  
5.1085283978e+03   -1.5019073489e+06  9.0158071072e-24  
5.1085283978e+03   -1.4814732353e+06  0.0000000000e+00  
5.1085283978e+03   -1.4610391218e+06  0.0000000000e+00  
5.1085283978e+03   -1.4406050082e+06  4.5079035536e-24  
5.1085283978e+03   -1.4201708946e+06  9.0158071072e-24  
5.1085283978e+03   -1.3997367810e+06  2.2539517768e-23  
5.1085283978e+03   -1.3793026674e+06  2.2539517768e-23  
5.1085283978e+03   -1.3588685538e+06  6.7618553304e-23  
5.1085283978e+03   -1.3384344402e+06  4.0571131982e-23  
5.1085283978e+03   -1.3180003266e+06  7.2126456858e-23  
5.1085283978e+03   -1.2975662130e+06  7.2126456858e-23  
5.1085283978e+03   -1.2771320994e+06  9.0158071072e-23  
5.1085283978e+03   -1.2566979858e+06  5.4094842643e-23  
5.1085283978e+03   -1.2362638723e+06  1.1720549239e-22  
5.1085283978e+03   -1.2158297587e+06  1.3072920305e-22  
5.1085283978e+03   -1.1953956451e+06  1.6228452793e-22  
5.1085283978e+03   -1.1749615315e+06  1.8031614214e-22  
5.1085283978e+03   -1.1545274179e+06  2.3891888834e-22  
5.1085283978e+03   -1.1340933043e+06  2.5244259900e-22  
5.1085283978e+03   -1.1136591907e+06  2.5244259900e-22  
5.1085283978e+03   -1.0932250771e+06  3.4260067007e-22  
5.1085283978e+03   -1.0727909635e+06  3.4260067007e-22  
5.1085283978e+03   -1.0523568499e+06  4.6882196958e-22  
5.1085283978e+03   -1.0319227363e+06  5.0037729445e-22  
5.1085283978e+03   -1.0114886228e+06  5.1840890867e-22  
5.1085283978e+03   -9.9105450916e+05  5.9504326908e-22  
5.1085283978e+03   -9.7062039557e+05  6.7618553304e-22  
5.1085283978e+03   -9.5018628198e+05  8.2494635031e-22  
5.1085283978e+03   -9.2975216839e+05  7.0774085792e-22  
5.1085283978e+03   -9.0931805480e+05  8.6100957874e-22  
5.1085283978e+03   -8.8888394121e+05  9.3313603560e-22  
5.1085283978e+03   -8.6844982762e+05  1.0638652387e-21  
5.1085283978e+03   -8.4801571403e+05  1.0728810458e-21  
5.1085283978e+03   -8.2758160044e+05  1.1765628275e-21  
5.1085283978e+03   -8.0714748685e+05  1.2531971879e-21  
5.1085283978e+03   -7.8671337325e+05  1.3974501016e-21  
5.1085283978e+03   -7.6627925966e+05  1.5597346295e-21  
5.1085283978e+03   -7.4584514607e+05  1.5011318834e-21  
5.1085283978e+03   -7.2541103248e+05  1.5912899544e-21  
5.1085283978e+03   -7.0497691889e+05  1.6679243148e-21  
5.1085283978e+03   -6.8454280530e+05  1.7490665788e-21  
5.1085283978e+03   -6.6410869171e+05  1.8707799747e-21  
5.1085283978e+03   -6.4367457812e+05  2.1277304773e-21  
5.1085283978e+03   -6.2324046453e+05  2.1547778986e-21  
5.1085283978e+03   -6.0280635093e+05  2.1818253199e-21  
5.1085283978e+03   -5.8237223734e+05  2.3531256550e-21  
5.1085283978e+03   -5.6193812375e+05  2.6055682540e-21  
5.1085283978e+03   -5.4150401016e+05  2.7408053606e-21  
5.1085283978e+03   -5.2106989657e+05  2.4658232438e-21  
5.1085283978e+03   -5.0063578298e+05  2.6145840611e-21  
5.1085283978e+03   -4.8020166939e+05  2.8219476246e-21  
5.1085283978e+03   -4.5976755580e+05  2.8219476246e-21  
5.1085283978e+03   -4.3933344221e+05  3.2411826550e-21  
5.1085283978e+03   -4.1889932862e+05  3.3944513759e-21  
5.1085283978e+03   -3.9846521502e+05  3.8903207668e-21  
5.1085283978e+03   -3.7803110143e+05  4.0165420663e-21  
5.1085283978e+03   -3.5759698784e+05  4.0526052947e-21  
5.1085283978e+03   -3.3716287425e+05  4.3411111221e-21  
5.1085283978e+03   -3.1672876066e+05  4.2734925688e-21  
5.1085283978e+03   -2.9629464707e+05  4.3411111221e-21  
5.1085283978e+03   -2.7586053348e+05  4.2103819191e-21  
5.1085283978e+03   -2.5542641989e+05  4.5710142034e-21  
5.1085283978e+03   -2.3499230630e+05  4.6566643709e-21  
5.1085283978e+03   -2.1455819271e+05  4.6115853353e-21  
5.1085283978e+03   -1.9412407911e+05  4.7468224420e-21  
5.1085283978e+03   -1.7368996552e+05  4.7017434064e-21  
5.1085283978e+03   -1.5325585193e+05  4.8955832592e-21  
5.1085283978e+03   -1.3282173834e+05  5.0037729445e-21  
5.1085283978e+03   -1.1238762475e+05  4.8505042237e-21  
5.1085283978e+03   -9.1953511160e+04  4.7152671171e-21  
5.1085283978e+03   -7.1519397569e+04  4.7513303455e-21  
5.1085283978e+03   -5.1085283978e+04  4.9000911628e-21  
5.1085283978e+03   -3.0651170387e+04  4.5349509749e-21  
5.1085283978e+03   -1.0217056796e+04  4.9136148734e-21  
5.1085283978e+03   1.0217056796e+04   4.9361543912e-21  
5.1085283978e+03   3.0651170387e+04   4.9677097161e-21  
5.1085283978e+03   5.1085283978e+04   4.5619983963e-21  
5.1085283978e+03   7.1519397569e+04   4.7197750206e-21  
5.1085283978e+03   9.1953511160e+04   4.9226306805e-21  
5.1085283978e+03   1.1238762475e+05   4.9902492338e-21  
5.1085283978e+03   1.3282173834e+05   4.8144409953e-21  
5.1085283978e+03   1.5325585193e+05   5.0443440765e-21  
5.1085283978e+03   1.7368996552e+05   4.9632018125e-21  
5.1085283978e+03   1.9412407911e+05   4.9857413303e-21  
5.1085283978e+03   2.1455819271e+05   4.9812334267e-21  
5.1085283978e+03   2.3499230630e+05   5.2066286044e-21  
5.1085283978e+03   2.5542641989e+05   5.1435179547e-21  
5.1085283978e+03   2.7586053348e+05   4.9451701983e-21  
5.1085283978e+03   2.9629464707e+05   4.8459963201e-21  
5.1085283978e+03   3.1672876066e+05   5.0218045587e-21  
5.1085283978e+03   3.3716287425e+05   4.9136148734e-21  
5.1085283978e+03   3.5759698784e+05   4.8820595486e-21  
5.1085283978e+03   3.7803110143e+05   5.1074547262e-21  
5.1085283978e+03   3.9846521502e+05   4.9226306805e-21  
5.1085283978e+03   4.1889932862e+05   4.3906980612e-21  
5.1085283978e+03   4.3933344221e+05   4.8955832592e-21  
5.1085283978e+03   4.5976755580e+05   4.2329214368e-21  
5.1085283978e+03   4.8020166939e+05   4.1743186906e-21  
5.1085283978e+03   5.0063578298e+05   3.6559097820e-21  
5.1085283978e+03   5.2106989657e+05   3.4846094469e-21  
5.1085283978e+03   5.4150401016e+05   2.9797242489e-21  
5.1085283978e+03   5.6193812375e+05   2.7588369748e-21  
5.1085283978e+03   5.8237223734e+05   2.9301373098e-21  
5.1085283978e+03   6.0280635093e+05   2.4613153403e-21  
5.1085283978e+03   6.2324046453e+05   2.3891888834e-21  
5.1085283978e+03   6.4367457812e+05   2.4477916296e-21  
5.1085283978e+03   6.6410869171e+05   2.0781435382e-21  
5.1085283978e+03   6.8454280530e+05   1.9789696600e-21  
5.1085283978e+03   7.0497691889e+05   2.2584596804e-21  
5.1085283978e+03   7.2541103248e+05   1.9970012742e-21  
5.1085283978e+03   7.4584514607e+05   1.9203669138e-21  
5.1085283978e+03   7.6627925966e+05   1.8166851321e-21  
5.1085283978e+03   7.8671337325e+05   1.6994796397e-21  
5.1085283978e+03   8.0714748685e+05   1.4966239798e-21  
5.1085283978e+03   8.2758160044e+05   1.4560528478e-21  
5.1085283978e+03   8.4801571403e+05   1.3929421981e-21  
5.1085283978e+03   8.6844982762e+05   1.2441813808e-21  
5.1085283978e+03   8.8888394121e+05   1.1675470204e-21  
5.1085283978e+03   9.0931805480e+05   1.0683731422e-21  
5.1085283978e+03   9.2975216839e+05   1.0818968529e-21  
5.1085283978e+03   9.5018628198e+05   1.0638652387e-21  
5.1085283978e+03   9.7062039557e+05   8.5199377163e-22  
5.1085283978e+03   9.9105450916e+05   7.9789892899e-22  
5.1085283978e+03   1.0114886228e+06   7.1224876147e-22  
5.1085283978e+03   1.0319227363e+06   6.7618553304e-22  
5.1085283978e+03   1.0523568499e+06   6.2209069040e-22  
5.1085283978e+03   1.0727909635e+06   5.9955117263e-22  
5.1085283978e+03   1.0932250771e+06   4.4177454825e-22  
5.1085283978e+03   1.1136591907e+06   3.8317180206e-22  
5.1085283978e+03   1.1340933043e+06   4.0120341627e-22  
5.1085283978e+03   1.1545274179e+06   3.8317180206e-22  
5.1085283978e+03   1.1749615315e+06   2.9301373098e-22  
5.1085283978e+03   1.1953956451e+06   1.8933194925e-22  
5.1085283978e+03   1.2158297587e+06   2.2088727413e-22  
5.1085283978e+03   1.2362638723e+06   1.4876081727e-22  
5.1085283978e+03   1.2566979858e+06   1.3072920305e-22  
5.1085283978e+03   1.2771320994e+06   1.0368178173e-22  
5.1085283978e+03   1.2975662130e+06   8.1142263965e-23  
5.1085283978e+03   1.3180003266e+06   1.0368178173e-22  
5.1085283978e+03   1.3384344402e+06   4.9586939090e-23  
5.1085283978e+03   1.3588685538e+06   4.0571131982e-23  
5.1085283978e+03   1.3793026674e+06   4.0571131982e-23  
5.1085283978e+03   1.3997367810e+06   2.2539517768e-23  
5.1085283978e+03   1.4201708946e+06   1.3523710661e-23  
5.1085283978e+03   1.4406050082e+06   1.3523710661e-23  
5.1085283978e+03   1.4610391218e+06   1.8031614214e-23  
5.1085283978e+03   1.4814732353e+06   4.5079035536e-24  
5.1085283978e+03   1.5019073489e+06   9.0158071072e-24  
5.1085283978e+03   1.5223414625e+06   9.0158071072e-24  
5.1085283978e+03   1.5427755761e+06   0.0000000000e+00  
5.1085283978e+03   1.5632096897e+06   4.5079035536e-24  
5.1085283978e+03   1.5836438033e+06   0.0000000000e+00  
5.1085283978e+03   1.6040779169e+06   0.0000000000e+00  
5.1085283978e+03   1.6245120305e+06   0.0000000000e+00  
5.1085283978e+03   1.6449461441e+06   0.0000000000e+00  
5.1085283978e+03   1.6653802577e+06   0.0000000000e+00  
5.1085283978e+03   1.6858143713e+06   0.0000000000e+00  
5.1085283978e+03   1.7062484848e+06   0.0000000000e+00  
5.1085283978e+03   1.7266825984e+06   0.0000000000e+00  
5.1085283978e+03   1.7471167120e+06   0.0000000000e+00  
5.1085283978e+03   1.7675508256e+06   0.0000000000e+00  
5.1085283978e+03   1.7879849392e+06   0.0000000000e+00  
5.1085283978e+03   1.8084190528e+06   0.0000000000e+00  
5.1085283978e+03   1.8288531664e+06   0.0000000000e+00  
5.1085283978e+03   1.8492872800e+06   0.0000000000e+00  
5.1085283978e+03   1.8697213936e+06   0.0000000000e+00  
5.1085283978e+03   1.8901555072e+06   0.0000000000e+00  
5.1085283978e+03   1.9105896208e+06   0.0000000000e+00  
5.1085283978e+03   1.9310237344e+06   0.0000000000e+00  
5.1085283978e+03   1.9514578479e+06   0.0000000000e+00  
5.1085283978e+03   1.9718919615e+06   0.0000000000e+00  
5.1085283978e+03   1.9923260751e+06   0.0000000000e+00  
5.1085283978e+03   2.0127601887e+06   0.0000000000e+00  
5.1085283978e+03   2.0331943023e+06   0.0000000000e+00  
1.5325585193e+04   -2.0331943023e+06  0.0000000000e+00  
1.5325585193e+04   -2.0127601887e+06  0.0000000000e+00  
1.5325585193e+04   -1.9923260751e+06  0.0000000000e+00  
1.5325585193e+04   -1.9718919615e+06  0.0000000000e+00  
1.5325585193e+04   -1.9514578479e+06  0.0000000000e+00  
1.5325585193e+04   -1.9310237344e+06  0.0000000000e+00  
1.5325585193e+04   -1.9105896208e+06  0.0000000000e+00  
1.5325585193e+04   -1.8901555072e+06  0.0000000000e+00  
1.5325585193e+04   -1.8697213936e+06  0.0000000000e+00  
1.5325585193e+04   -1.8492872800e+06  0.0000000000e+00  
1.5325585193e+04   -1.8288531664e+06  0.0000000000e+00  
1.5325585193e+04   -1.8084190528e+06  0.0000000000e+00  
1.5325585193e+04   -1.7879849392e+06  0.0000000000e+00  
1.5325585193e+04   -1.7675508256e+06  0.0000000000e+00  
1.5325585193e+04   -1.7471167120e+06  0.0000000000e+00  
1.5325585193e+04   -1.7266825984e+06  0.0000000000e+00  
1.5325585193e+04   -1.7062484848e+06  0.0000000000e+00  
